Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
34, Call of Juarez: Bound in Blood, PS3, 2009, Shooter, Ubisoft, 0.35, 0.01, 0.38, 0.16, 0.9
35, Killzone: Liberation, PSP, 2006, Shooter, Sony Computer Entertainment, 0.44, 0.0, 0.28, 0.18, 0.9
36, Madden NFL 08, Wii, 2007, Sports, Electronic Arts, 0.82, 0.0, 0.01, 0.07, 0.8999999999999999
37, Blitz: The League, PS2, 2005, Sports, Unknown, 0.74, 0.0, 0.03, 0.12, 0.89
38, LEGO Jurassic World, PS4, 2015, Action, Warner Bros. Interactive Entertainment, 0.32, 0.01, 0.42, 0.14, 0.8900000000000001
39, Castlevania: Circle of the Moon, GBA, 2001, Platform, Konami Digital Entertainment, 0.6, 0.05, 0.22, 0.02, 0.8899999999999999
40, Sonic Chronicles: The Dark Brotherhood, DS, 2008, Role-Playing, Sega, 0.51, 0.01, 0.29, 0.09, 0.9
41, Tiger Woods PGA Tour 06, PS2, 2005, Sports, Electronic Arts, 0.74, 0.0, 0.03, 0.12, 0.89
42, Classic NES Series: The Legend of Zelda, GBA, 2004, Adventure, Nintendo, 0.46, 0.24, 0.17, 0.02, 0.89
43, The Jak and Daxter Collection, PS3, 2012, Platform, Sony Computer Entertainment, 0.6, 0.0, 0.19, 0.1, 0.89
44, Fire Emblem: The Sacred Stones, GBA, 2004, Strategy, Nintendo, 0.42, 0.3, 0.16, 0.02, 0.8999999999999999
45, Pokemon Card GB2: Here Comes Team GR!, GB, 2001, Strategy, Nintendo, 0.0, 0.89, 0.0, 0.0, 0.89
46, Finding Nemo, GC, 2003, Action, THQ, 0.69, 0.0, 0.18, 0.02, 0.8899999999999999
47, CSI: Hard Evidence, Wii, 2008, Adventure, Ubisoft, 0.36, 0.0, 0.43, 0.1, 0.89
48, Ace Combat 2, PS, 1997, Simulation, Sony Computer Entertainment, 0.16, 0.56, 0.11, 0.06, 0.89
49, F1 2009, Wii, 2009, Racing, Codemasters, 0.15, 0.0, 0.63, 0.11, 0.89
50, NFL 2K2, PS2, 2001, Sports, Sega, 0.44, 0.0, 0.34, 0.11, 0.89
51, EA Sports UFC 2, PS4, 2016, Sports, Electronic Arts, 0.28, 0.0, 0.47, 0.14, 0.89
52, Dissidia 012: Duodecim Final Fantasy, PSP, 2011, Fighting, Square Enix, 0.21, 0.46, 0.13, 0.08, 0.88
53, LEGO Marvel Super Heroes, 3DS, 2013, Action, Warner Bros. Interactive Entertainment, 0.42, 0.04, 0.36, 0.07, 0.8899999999999999
54, F1 2010, X360, 2010, Racing, Codemasters, 0.18, 0.01, 0.59, 0.1, 0.8799999999999999
55, Monster 4X4: World Circuit, Wii, 2006, Racing, Ubisoft, 0.81, 0.01, 0.0, 0.07, 0.89
56, Call of Duty: Modern Warfare 2, PC, 2009, Shooter, Activision, 0.01, 0.0, 0.79, 0.09, 0.89
57, Wii Fit U, WiiU, 2013, Sports, Nintendo, 0.39, 0.21, 0.24, 0.06, 0.9
58, Kingdoms of Amalur: Reckoning, X360, 2012, Role-Playing, Electronic Arts, 0.55, 0.01, 0.25, 0.07, 0.8800000000000001
59, Call of Duty: Modern Warfare 3, Wii, 2011, Shooter, Activision, 0.6, 0.0, 0.21, 0.08, 0.8899999999999999
60, MLB 2001, PS, 2000, Sports, Sony Computer Entertainment, 0.49, 0.0, 0.34, 0.06, 0.89
61, SingStar Anthems, PS2, 2006, Misc, Sony Computer Entertainment, 0.0, 0.0, 0.68, 0.2, 0.8800000000000001
62, Seiken Densetsu 3, SNES, 1995, Role-Playing, SquareSoft, 0.0, 0.89, 0.0, 0.0, 0.89
63, Mega Man 8 Anniversary Collector's Edition, PS, 1996, Platform, Capcom, 0.44, 0.09, 0.3, 0.06, 0.8899999999999999
64, WWE SmackDown vs. Raw 2011, X360, 2010, Fighting, THQ, 0.44, 0.0, 0.36, 0.08, 0.88
65, Sleeping Dogs, X360, 2012, Action, Square Enix, 0.38, 0.01, 0.41, 0.08, 0.88
66, Grand Theft Auto IV, PC, 2008, Action, Take-Two Interactive, 0.01, 0.0, 0.79, 0.08, 0.88
67, Peppa Pig: The Game, DS, 2008, Misc, Pinnacle, 0.0, 0.0, 0.82, 0.06, 0.8799999999999999
68, Michael Jackson: The Experience, X360, 2011, Misc, Ubisoft, 0.62, 0.0, 0.2, 0.07, 0.89
69, Ghostbusters: The Video Game, Wii, 2009, Action, Atari, 0.6, 0.0, 0.21, 0.08, 0.8899999999999999
70, Rock Band 3, X360, 2010, Misc, MTV Games, 0.73, 0.0, 0.1, 0.06, 0.89
71, Resident Evil: Revelations, 3DS, 2012, Action, Capcom, 0.3, 0.3, 0.22, 0.05, 0.8700000000000001
72, NBA 2K6, PS2, 2005, Action, Take-Two Interactive, 0.43, 0.0, 0.34, 0.11, 0.88
73, Buzz! The Mega Quiz, PS2, 2007, Misc, Sony Computer Entertainment, 0.32, 0.0, 0.06, 0.5, 0.8800000000000001
74, Endless Ocean: Blue World, Wii, 2009, Simulation, Nintendo, 0.47, 0.12, 0.22, 0.07, 0.88
75, Star Wars: Rebel Assault II - The Hidden Empire, PS, 1996, Shooter, CTO SpA, 0.49, 0.0, 0.33, 0.06, 0.88
76, Just Cause 3, XOne, 2015, Action, Square Enix, 0.42, 0.0, 0.38, 0.07, 0.87
77, Metal Gear Ac!d, PSP, 2004, Strategy, Konami Digital Entertainment, 0.32, 0.12, 0.26, 0.17, 0.8700000000000001
78, Cooking Mama: World Kitchen, Wii, 2008, Simulation, 505 Games, 0.51, 0.01, 0.28, 0.08, 0.8800000000000001
79, Tekken Tag Tournament 2, PS3, 2012, Fighting, Namco Bandai Games, 0.28, 0.13, 0.33, 0.14, 0.8800000000000001
80, ESPN NHL 2K5, PS2, 2004, Sports, Global Star, 0.43, 0.0, 0.33, 0.11, 0.87
81, GRID, X360, 2008, Racing, Codemasters, 0.33, 0.01, 0.44, 0.09, 0.8700000000000001
82, Phantasy Star Portable 2, PSP, 2009, Role-Playing, Sega, 0.08, 0.62, 0.11, 0.06, 0.87
83, Crimson Skies: High Road to Revenge, XB, 2003, Simulation, Microsoft Game Studios, 0.65, 0.0, 0.19, 0.03, 0.87
84, Spec Ops: Ranger Elite, PS, 2001, Shooter, TalonSoft, 0.49, 0.0, 0.33, 0.06, 0.88
85, Gex, PS, 1995, Platform, Crystal Dynamics, 0.49, 0.0, 0.33, 0.06, 0.88
86, NBA 2K14, XOne, 2013, Sports, Take-Two Interactive, 0.7, 0.0, 0.11, 0.06, 0.8699999999999999
87, DiRT, X360, 2007, Racing, Codemasters, 0.38, 0.0, 0.4, 0.09, 0.87
88, Derby Stallion II, SNES, 1994, Sports, ASCII Entertainment, 0.0, 0.87, 0.0, 0.0, 0.87
89, Gold's Gym: Dance Workout, Wii, 2010, Sports, Ubisoft, 0.71, 0.0, 0.11, 0.06, 0.8799999999999999
90, Red Faction: Guerrilla, X360, 2009, Shooter, THQ, 0.48, 0.01, 0.29, 0.09, 0.87
91, Tom Clancy's Ghost Recon: Island Thunder, XB, 2003, Shooter, Ubisoft, 0.61, 0.0, 0.24, 0.03, 0.88
92, Mercenaries 2: World in Flames, PS3, 2008, Shooter, Electronic Arts, 0.29, 0.02, 0.4, 0.16, 0.8700000000000001
93, Need for Speed: V-Rally, PS, 1997, Racing, Infogrames, 0.43, 0.09, 0.29, 0.06, 0.8699999999999999
94, Kingdom Hearts Re: Chain of Memories, PS2, 2008, Role-Playing, Square Enix, 0.73, 0.0, 0.03, 0.12, 0.88
95, Pictionary, Wii, 2010, Puzzle, THQ, 0.61, 0.0, 0.19, 0.07, 0.87
96, NCAA Football 13, PS3, 2012, Action, Electronic Arts, 0.82, 0.0, 0.0, 0.06, 0.8799999999999999
97, Kingdoms of Amalur: Reckoning, PS3, 2012, Role-Playing, Electronic Arts, 0.37, 0.09, 0.3, 0.11, 0.87
98, NFL GameDay '97, PS, 1996, Sports, Sony Computer Entertainment, 0.48, 0.0, 0.33, 0.06, 0.87
99, Beijing 2008, PS3, 2008, Sports, Sega, 0.14, 0.01, 0.54, 0.18, 0.87
100, The House of the Dead: Overkill, Wii, 2009, Shooter, Sega, 0.46, 0.02, 0.31, 0.09, 0.8800000000000001
101, Tony Hawk's Project 8, PS2, 2006, Sports, Activision, 0.72, 0.0, 0.03, 0.12, 0.87
102, Injustice: Gods Among Us, PS4, 2013, Fighting, Warner Bros. Interactive Entertainment, 0.46, 0.0, 0.29, 0.12, 0.87
103, NHL 2000, PS, 1998, Sports, Electronic Arts, 0.48, 0.0, 0.33, 0.06, 0.87
104, Buzz! Master Quiz, PSP, 2008, Misc, Sony Computer Entertainment, 0.2, 0.0, 0.44, 0.23, 0.8700000000000001
105, Brothers in Arms: Hell's Highway, X360, 2008, Shooter, Ubisoft, 0.47, 0.0, 0.31, 0.09, 0.87
106, Fight Night Round 2, PS2, 2005, Fighting, Electronic Arts, 0.72, 0.0, 0.03, 0.12, 0.87
107, Wizards of Waverly Place, DS, 2009, Misc, Disney Interactive Studios, 0.59, 0.0, 0.2, 0.08, 0.87
108, Scooby-Doo! First Frights, DS, 2009, Action, Warner Bros. Interactive Entertainment, 0.63, 0.0, 0.17, 0.07, 0.87
109, Conflict: Desert Storm, XB, 2002, Shooter, SCi, 0.48, 0.0, 0.37, 0.02, 0.87
110, Triple Play 2002, PS2, 2002, Sports, Electronic Arts, 0.43, 0.0, 0.33, 0.11, 0.87
111, Vagrant Story, PS, 2000, Role-Playing, Crave Entertainment, 0.3, 0.3, 0.2, 0.06, 0.8600000000000001
112, Lemmings, PSP, 2006, Puzzle, Sony Computer Entertainment, 0.12, 0.0, 0.52, 0.23, 0.87
113, Warriors Orochi, PS2, 2007, Action, Tecmo Koei, 0.11, 0.64, 0.09, 0.03, 0.87
114, Guitar Hero: Warriors of Rock, X360, 2010, Misc, Activision, 0.47, 0.0, 0.32, 0.08, 0.87
115, Enduro, 2600, 1982, Misc, Quelle, 0.81, 0.0, 0.05, 0.01, 0.8700000000000001
116, Tales of Xillia 2, PS3, 2012, Role-Playing, Namco Bandai Games, 0.2, 0.45, 0.15, 0.07, 0.8700000000000001
117, SingStar '90s, PS2, 2007, Misc, Sony Computer Entertainment, 0.1, 0.0, 0.59, 0.18, 0.87
118, Monster Strike 3DS, 3DS, 2015, Action, "mixi,  Inc", 0.0, 0.86, 0.0, 0.0, 0.86
119, Tomb Raider: Anniversary, Wii, 2007, Action, Eidos Interactive, 0.12, 0.0, 0.63, 0.11, 0.86
120, Winning Eleven: Pro Evolution Soccer 2007, PSP, 2006, Sports, Konami Digital Entertainment, 0.01, 0.12, 0.72, 0.01, 0.86
121, Darksiders II, PS3, 2012, Action, THQ, 0.35, 0.01, 0.37, 0.14, 0.87
122, Ghostbusters: The Video Game, PS3, 2009, Action, Sony Computer Entertainment, 0.34, 0.0, 0.37, 0.15, 0.8600000000000001
123, The World Ends With You, DS, 2007, Role-Playing, Square Enix, 0.54, 0.21, 0.06, 0.05, 0.8600000000000001
124, The Lord of the Rings: War in the North, PS3, 0, Action, Warner Bros. Interactive Entertainment, 0.25, 0.01, 0.45, 0.15, 0.86
125, Rocky, PS2, 2002, Fighting, Rage Software, 0.42, 0.0, 0.33, 0.11, 0.86
126, Dragon Quest VIII: Journey of the Cursed King, 3DS, 2015, Role-Playing, Square Enix, 0.0, 0.86, 0.0, 0.0, 0.86
127, Ford Racing, PS, 2001, Racing, Empire Interactive, 0.48, 0.0, 0.33, 0.06, 0.87
128, Madden Football 64, N64, 1997, Sports, Electronic Arts, 0.81, 0.0, 0.04, 0.01, 0.8600000000000001
129, MLB 99, PS, 1998, Sports, Sony Computer Entertainment, 0.48, 0.0, 0.32, 0.06, 0.86
130, Dragon Ball Z: Burst Limit, PS3, 2008, Fighting, Atari, 0.22, 0.18, 0.34, 0.12, 0.86
131, The Lord of the Rings: War in the North, X360, 0, Action, Warner Bros. Interactive Entertainment, 0.52, 0.0, 0.26, 0.08, 0.8600000000000001
132, The Legendary Starfy, DS, 2008, Platform, Nintendo, 0.61, 0.2, 0.0, 0.05, 0.86
133, 2010 FIFA World Cup South Africa, X360, 2010, Sports, Electronic Arts, 0.32, 0.02, 0.43, 0.09, 0.8600000000000001
134, Dynasty Warriors 4: Xtreme Legends, PS2, 2003, Action, Tecmo Koei, 0.17, 0.51, 0.13, 0.04, 0.8500000000000001
135, Ninja Gaiden Sigma 2, PS3, 2009, Action, Ubisoft Annecy, 0.52, 0.08, 0.16, 0.1, 0.8600000000000001
136, Forza Horizon 2, X360, 2014, Racing, Microsoft Game Studios, 0.35, 0.0, 0.43, 0.07, 0.85
137, Skate 2, PS3, 2009, Sports, Electronic Arts, 0.46, 0.01, 0.26, 0.12, 0.8500000000000001
138, FIFA Soccer 08, DS, 2007, Sports, Electronic Arts, 0.1, 0.0, 0.65, 0.11, 0.86
139, Army Men: Air Attack, PS, 1999, Action, 3DO, 0.47, 0.0, 0.32, 0.06, 0.85
140, Need for Speed: Nitro, Wii, 2009, Racing, Electronic Arts, 0.46, 0.0, 0.31, 0.08, 0.8500000000000001
141, Madden NFL 09 All-Play, Wii, 2008, Sports, Electronic Arts, 0.78, 0.0, 0.01, 0.07, 0.86
142, NBA 2K8, X360, 2007, Sports, Take-Two Interactive, 0.79, 0.0, 0.0, 0.07, 0.8600000000000001
143, Far Cry: Primal, XOne, 2016, Action, Ubisoft, 0.46, 0.0, 0.32, 0.07, 0.8500000000000001
144, Street Fighter Alpha 2, PS, 1996, Fighting, Virgin Interactive, 0.14, 0.57, 0.09, 0.06, 0.86
145, Tiger Woods PGA Tour 2005, XB, 2004, Sports, Electronic Arts, 0.64, 0.0, 0.18, 0.03, 0.85
146, Army of Two: The 40th Day, PS3, 2010, Shooter, Electronic Arts, 0.44, 0.01, 0.27, 0.12, 0.8400000000000001
147, Blazing Angels: Squadrons of WWII, Wii, 2007, Simulation, Ubisoft, 0.74, 0.0, 0.04, 0.06, 0.84
148, Castlevania III: Dracula's Curse, NES, 1989, Platform, Konami Digital Entertainment, 0.4, 0.37, 0.07, 0.01, 0.8500000000000001
149, Harry Potter and the Order of the Phoenix, DS, 2007, Action, Electronic Arts, 0.28, 0.0, 0.47, 0.1, 0.85
150, Rampage World Tour, PS, 1997, Action, GT Interactive, 0.47, 0.0, 0.32, 0.06, 0.85
151, Burnout Legends, PSP, 2005, Racing, Electronic Arts, 0.7, 0.0, 0.06, 0.09, 0.85
152, WWE 2K15, PS3, 2014, Sports, Take-Two Interactive, 0.36, 0.0, 0.35, 0.14, 0.85
153, Overwatch, XOne, 2016, Shooter, Activision, 0.52, 0.0, 0.25, 0.08, 0.8500000000000001
154, Ratatouille, PS2, 2007, Action, THQ, 0.31, 0.0, 0.0, 0.53, 0.8400000000000001
155, NFL GameDay, PS, 1995, Sports, Sony Computer Entertainment, 0.47, 0.0, 0.32, 0.06, 0.85
156, Burnout 2: Point of Impact, PS2, 2002, Racing, Acclaim Entertainment, 0.42, 0.0, 0.32, 0.11, 0.85
157, Kirby: Planet Robobot, 3DS, 2016, Action, Nintendo, 0.26, 0.44, 0.1, 0.04, 0.8400000000000001
158, Street Fighter EX3, PS2, 2000, Fighting, Virgin Interactive, 0.32, 0.2, 0.25, 0.08, 0.8500000000000001
159, Karaoke Revolution Glee, Wii, 2010, Misc, Konami Digital Entertainment, 0.52, 0.0, 0.25, 0.07, 0.8400000000000001
160, Sniper Elite V2, X360, 2012, Shooter, 505 Games, 0.46, 0.02, 0.29, 0.07, 0.8400000000000001
161, Thief (2014), PS4, 2014, Action, Square Enix, 0.28, 0.03, 0.37, 0.16, 0.8400000000000001
162, Spider-Man 2, GC, 2004, Action, Activision, 0.65, 0.0, 0.17, 0.02, 0.8400000000000001
163, Golden Sun: Dark Dawn, DS, 2010, Role-Playing, Nintendo, 0.56, 0.13, 0.11, 0.05, 0.8500000000000001
164, Tiger Woods PGA Tour 11, PS3, 2010, Sports, Electronic Arts, 0.37, 0.0, 0.34, 0.13, 0.8400000000000001
165, Devil May Cry HD Collection, PS3, 2012, Action, Capcom, 0.42, 0.11, 0.21, 0.1, 0.84
166, MLB 16: The Show, PS4, 2016, Action, Sony Computer Entertainment, 0.68, 0.0, 0.0, 0.16, 0.8400000000000001
167, NBA 2K10, PS3, 2009, Sports, Take-Two Interactive, 0.75, 0.01, 0.01, 0.07, 0.84
168, Xenoblade Chronicles X, WiiU, 2015, Role-Playing, Nintendo, 0.36, 0.14, 0.28, 0.06, 0.8400000000000001
169, Petz Dogz Fashion, DS, 2008, Simulation, Ubisoft, 0.46, 0.0, 0.3, 0.09, 0.8500000000000001
170, The Incredibles, GC, 2004, Action, THQ, 0.65, 0.0, 0.17, 0.02, 0.8400000000000001
171, NCAA Football 11, PS3, 2010, Sports, Electronic Arts, 0.79, 0.0, 0.0, 0.06, 0.8500000000000001
172, Dragon Age II, PS3, 2011, Action, Electronic Arts, 0.4, 0.05, 0.27, 0.12, 0.8400000000000001
173, ATV Quad Power Racing 2, PS2, 2003, Racing, Acclaim Entertainment, 0.41, 0.0, 0.32, 0.11, 0.84
174, Harvest Moon: Tree of Tranquility, Wii, 2007, Simulation, Rising Star Games, 0.69, 0.06, 0.03, 0.06, 0.84
175, Final Fantasy, NES, 1987, Role-Playing, SquareSoft, 0.32, 0.52, 0.0, 0.0, 0.8400000000000001
176, Street Fighter X Tekken, PS3, 2012, Fighting, Capcom, 0.42, 0.1, 0.22, 0.1, 0.8400000000000001
177, Rocket Power: Team Rocket Rescue, PS, 2001, Sports, THQ, 0.47, 0.0, 0.32, 0.05, 0.84
178, Duke Nukem Forever, X360, 2011, Shooter, Take-Two Interactive, 0.52, 0.0, 0.25, 0.07, 0.8400000000000001
179, Big Mutha Truckers, PS2, 2002, Racing, Empire Interactive, 0.41, 0.0, 0.32, 0.11, 0.84
180, Borderlands: The Handsome Collection, PS4, 2015, Shooter, Take-Two Interactive, 0.36, 0.03, 0.32, 0.14, 0.85
181, Rogue Galaxy, PS2, 2005, Role-Playing, Sony Computer Entertainment, 0.24, 0.39, 0.16, 0.05, 0.8400000000000001
182, ESPN College Hoops 2K5, PS2, 2004, Sports, Sega, 0.41, 0.0, 0.32, 0.11, 0.84
183, Metroid: Zero Mission, GBA, 2004, Adventure, Nintendo, 0.6, 0.0, 0.22, 0.01, 0.83
184, FIFA 15, PSV, 2014, Sports, Electronic Arts, 0.13, 0.04, 0.48, 0.19, 0.84
185, Time Crisis 4, PS3, 2007, Shooter, Namco Bandai Games, 0.32, 0.05, 0.33, 0.14, 0.8400000000000001
186, Ben 10: Protector of Earth, PS2, 2007, Action, D3Publisher, 0.09, 0.0, 0.0, 0.74, 0.83
187, Need for Speed Rivals, X360, 2013, Racing, Electronic Arts, 0.37, 0.01, 0.38, 0.08, 0.8400000000000001
188, Q*bert, PS, 1999, Puzzle, Atari, 0.46, 0.0, 0.32, 0.05, 0.8300000000000001
189, WWE SmackDown vs. Raw 2009, Wii, 2008, Fighting, THQ, 0.44, 0.0, 0.31, 0.08, 0.8300000000000001
190, Ace Combat 3: Electrosphere, PS, 1999, Simulation, Sony Computer Entertainment, 0.22, 0.4, 0.15, 0.05, 0.8200000000000001
191, Dynasty Warriors 2, PS2, 2000, Action, THQ, 0.24, 0.34, 0.19, 0.06, 0.8300000000000001
192, Battle of Giants: Dinosaurs, DS, 2008, Strategy, Ubisoft, 0.38, 0.0, 0.37, 0.09, 0.84
193, Madden NFL 07, PSP, 0, Sports, Unknown, 0.77, 0.0, 0.03, 0.04, 0.8400000000000001
194, Lizzie McGuire 2: Lizzie Diaries, GBA, 2004, Action, Disney Interactive Studios, 0.6, 0.0, 0.22, 0.01, 0.83
195, Borderlands 2, PSV, 2014, Shooter, Take-Two Interactive, 0.43, 0.01, 0.21, 0.19, 0.8400000000000001
196, FIFA Soccer World Championship, PS2, 2000, Sports, Electronic Arts, 0.27, 0.28, 0.21, 0.07, 0.8300000000000001
197, Brute Force, XB, 2003, Shooter, Microsoft Game Studios, 0.62, 0.01, 0.18, 0.03, 0.84
198, Dance Central 3, X360, 2012, Misc, Microsoft Game Studios, 0.57, 0.0, 0.2, 0.06, 0.83
199, Yu-Gi-Oh! Dark Duel Stories, GB, 2000, Misc, Konami Digital Entertainment, 0.0, 0.83, 0.0, 0.0, 0.83
200, The Game of Life, PS, 1998, Misc, Unknown, 0.46, 0.0, 0.31, 0.05, 0.8200000000000001
201, Mega Man Legends, PS, 1997, Adventure, Capcom, 0.39, 0.12, 0.26, 0.05, 0.8200000000000001
202, NCAA Football 12, PS3, 2011, Sports, Electronic Arts, 0.78, 0.0, 0.0, 0.05, 0.8300000000000001
203, Sly 3: Honor Among Thieves, PS2, 2005, Platform, Sony Computer Entertainment, 0.69, 0.0, 0.03, 0.11, 0.83
204, The Price is Right, Wii, 2008, Misc, Ubisoft, 0.77, 0.0, 0.0, 0.06, 0.8300000000000001
205, Sid Meier's Civilization Revolution, X360, 2008, Strategy, Take-Two Interactive, 0.58, 0.0, 0.17, 0.07, 0.82
206, MLB SlugFest 20-03, PS2, 0, Sports, Unknown, 0.41, 0.0, 0.32, 0.11, 0.84
207, I Spy: Fun House, DS, 2007, Puzzle, Scholastic Inc., 0.77, 0.0, 0.0, 0.06, 0.8300000000000001
208, The Amazing Spider-Man (Console Version), PS3, 2012, Action, Activision, 0.31, 0.0, 0.37, 0.14, 0.8200000000000001
209, Dragon Ball: Raging Blast 2, PS3, 2010, Fighting, Namco Bandai Games, 0.42, 0.11, 0.2, 0.09, 0.8200000000000001
210, MediEvil, PS, 1998, Platform, Sony Computer Entertainment, 0.46, 0.0, 0.31, 0.05, 0.8200000000000001
211, Casper, PS, 1996, Adventure, Interplay, 0.46, 0.0, 0.31, 0.05, 0.8200000000000001
212, Deca Sports 2, Wii, 2009, Sports, Hudson Soft, 0.33, 0.09, 0.34, 0.07, 0.8300000000000001
213, James Bond 007: Nightfire, XB, 2002, Shooter, Electronic Arts, 0.58, 0.0, 0.22, 0.03, 0.83
214, Madden NFL 17, XOne, 2016, Sports, Electronic Arts, 0.72, 0.0, 0.02, 0.09, 0.83
215, Tony Hawk's Underground 2 Remix, PSP, 2005, Sports, Activision, 0.46, 0.0, 0.21, 0.15, 0.8200000000000001
216, Tony Hawk's Pro Skater 3, GC, 2001, Sports, Activision, 0.64, 0.0, 0.17, 0.02, 0.8300000000000001
217, Marvel: Ultimate Alliance, PS2, 2006, Role-Playing, Activision, 0.69, 0.0, 0.03, 0.11, 0.83
218, Star Wars The Clone Wars: Republic Heroes, Wii, 2009, Action, LucasArts, 0.44, 0.0, 0.3, 0.08, 0.8200000000000001
219, DJ Hero 2, X360, 2010, Misc, Activision, 0.64, 0.0, 0.12, 0.06, 0.8200000000000001
220, Street Fighter V, PS4, 2016, Fighting, Capcom, 0.35, 0.08, 0.26, 0.13, 0.8200000000000001
221, Need for Speed: Hot Pursuit 2, XB, 2002, Racing, Electronic Arts, 0.68, 0.0, 0.11, 0.03, 0.8200000000000001
222, Clu Clu Land, NES, 1984, Puzzle, Nintendo, 0.42, 0.28, 0.1, 0.02, 0.8200000000000001
223, Killer Instinct Gold, N64, 1996, Fighting, Nintendo, 0.61, 0.0, 0.19, 0.01, 0.81
224, Amped: Freestyle Snowboarding, XB, 2001, Sports, Microsoft Game Studios, 0.69, 0.0, 0.11, 0.02, 0.82
225, Custer's Revenge, 2600, 1981, Action, Mystique, 0.76, 0.0, 0.05, 0.01, 0.8200000000000001
226, MediEvil: Resurrection, PSP, 2005, Adventure, Sony Computer Entertainment, 0.19, 0.0, 0.41, 0.22, 0.8200000000000001
227, DmC: Devil May Cry, PS3, 2013, Action, Capcom, 0.24, 0.19, 0.28, 0.12, 0.8300000000000001
