Kinect Adventures!, X360, 2010, Misc, Microsoft Game Studios, 14.97, 0.24, 4.94, 1.67, 21.82
Medal of Honor: Warfighter, X360, 2012, Action, Electronic Arts, 0.58, 0.01, 0.47, 0.1, 1.17
Mirror's Edge, X360, 2008, Platform, Electronic Arts, 0.51, 0.01, 0.51, 0.13, 1.17
Sniper: Ghost Warrior, X360, 2010, Shooter, City Interactive, 0.54, 0.0, 0.51, 0.12, 1.16
Plants vs. Zombies: Garden Warfare, X360, 2014, Shooter, Electronic Arts, 0.51, 0.0, 0.54, 0.1, 1.16
Guitar Hero 5, X360, 2009, Misc, Activision, 0.65, 0.0, 0.37, 0.11, 1.14
WWE 2K14, X360, 2013, Sports, Take-Two Interactive, 0.64, 0.0, 0.39, 0.1, 1.13
Dragon Age II, X360, 2011, Action, Electronic Arts, 0.72, 0.01, 0.3, 0.09, 1.12
Crackdown 2, X360, 2010, Shooter, Microsoft Game Studios, 0.63, 0.02, 0.37, 0.1, 1.12
Rocksmith, X360, 2011, Misc, Ubisoft, 0.84, 0.01, 0.2, 0.08, 1.12
Disney Infinity 2.0: Marvel Super Heroes, X360, 2014, Action, Disney Interactive Studios, 0.62, 0.0, 0.4, 0.1, 1.12
Medal of Honor: Airborne, X360, 2007, Shooter, Electronic Arts, 0.45, 0.01, 0.53, 0.12, 1.1
Skate 2, X360, 2009, Sports, Electronic Arts, 0.82, 0.01, 0.17, 0.09, 1.09
Sonic Free Riders, X360, 2010, Racing, Sega, 0.74, 0.0, 0.26, 0.09, 1.09
NCAA Football 13, X360, 2012, Action, Electronic Arts, 1.02, 0.0, 0.0, 0.06, 1.08
Tomb Raider: Underworld, X360, 2008, Action, Eidos Interactive, 0.53, 0.01, 0.43, 0.11, 1.08
Marvel vs. Capcom 3: Fate of Two Worlds, X360, 2011, Fighting, Capcom, 0.79, 0.03, 0.18, 0.07, 1.08
NCAA Football 14, X360, 2013, Sports, Electronic Arts, 1.01, 0.0, 0.0, 0.06, 1.07
Red Dead Redemption: Undead Nightmare, X360, 2010, Action, Take-Two Interactive, 0.57, 0.02, 0.39, 0.09, 1.07
Bully: Scholarship Edition, X360, 2008, Action, Take-Two Interactive, 0.53, 0.03, 0.4, 0.11, 1.07
Pro Evolution Soccer 2008, X360, 2007, Sports, Konami Digital Entertainment, 0.08, 0.04, 0.9, 0.05, 1.07
LEGO Pirates of the Caribbean: The Video Game, X360, 2011, Action, Disney Interactive Studios, 0.54, 0.0, 0.42, 0.1, 1.07
Aliens vs Predator, X360, 2010, Shooter, Sega, 0.55, 0.0, 0.4, 0.11, 1.06
Darksiders, X360, 2010, Action, THQ, 0.67, 0.01, 0.29, 0.1, 1.06
Mercenaries 2: World in Flames, X360, 2008, Shooter, Electronic Arts, 0.65, 0.01, 0.3, 0.1, 1.06
DJ Hero, X360, 2009, Misc, Activision, 0.56, 0.0, 0.4, 0.11, 1.06
Assassin's Creed: Rogue, X360, 2014, Action, Ubisoft, 0.58, 0.0, 0.38, 0.09, 1.05
WWE SmackDown vs. Raw 2010, X360, 2009, Fighting, THQ, 0.56, 0.01, 0.38, 0.11, 1.05
Sonic the Hedgehog, X360, 2006, Platform, Sega, 0.44, 0.0, 0.49, 0.11, 1.05
The Simpsons Game, X360, 2007, Action, Electronic Arts, 0.54, 0.0, 0.4, 0.11, 1.05
Brink, X360, 2011, Shooter, Bethesda Softworks, 0.59, 0.01, 0.35, 0.09, 1.04
LEGO Indiana Jones 2: The Adventure Continues, X360, 2009, Action, Activision, 0.62, 0.0, 0.33, 0.09, 1.04
Bulletstorm, X360, 2011, Shooter, Electronic Arts, 0.61, 0.01, 0.32, 0.08, 1.02
Tom Clancy's Ghost Recon Advanced Warfighter 2, X360, 2007, Shooter, Ubisoft, 0.87, 0.02, 0.05, 0.08, 1.02
Ace Combat 6: Fires of Liberation, X360, 2007, Simulation, Atari, 0.69, 0.22, 0.04, 0.06, 1.02
Prince of Persia, X360, 2008, Action, Ubisoft, 0.54, 0.02, 0.35, 0.1, 1.01
Ninja Gaiden II, X360, 2008, Action, Tecmo Koei, 0.65, 0.05, 0.22, 0.1, 1.01
PES 2009: Pro Evolution Soccer, X360, 2008, Sports, Konami Digital Entertainment, 0.13, 0.03, 0.76, 0.09, 1.0
UFC Undisputed 3, X360, 2012, Action, THQ, 0.72, 0.0, 0.21, 0.07, 1.0
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales), X360, 2006, Sports, Konami Digital Entertainment, 0.08, 0.02, 0.9, 0.0, 1.0
Dark Souls, X360, 2011, Role-Playing, Namco Bandai Games, 0.64, 0.0, 0.28, 0.08, 1.0
Dead Space 3, X360, 2013, Action, Electronic Arts, 0.64, 0.0, 0.28, 0.08, 0.99
LEGO Harry Potter: Years 5-7, X360, 0, Action, Warner Bros. Interactive Entertainment, 0.51, 0.0, 0.39, 0.09, 0.99
Tom Clancy's Splinter Cell: Blacklist, X360, 2013, Action, Ubisoft, 0.57, 0.01, 0.34, 0.08, 0.99
NCAA Football 12, X360, 2011, Sports, Electronic Arts, 0.94, 0.0, 0.0, 0.06, 0.99
Just Dance 2014, X360, 2013, Misc, Ubisoft, 0.72, 0.0, 0.19, 0.07, 0.98
Far Cry 4, X360, 2014, Shooter, Ubisoft, 0.45, 0.0, 0.44, 0.08, 0.98
Madden NFL 16, X360, 2015, Sports, Electronic Arts, 0.82, 0.0, 0.05, 0.1, 0.98
Brutal Legend, X360, 2009, Action, Electronic Arts, 0.62, 0.0, 0.27, 0.09, 0.98
NBA 2K10, X360, 2009, Sports, Take-Two Interactive, 0.88, 0.0, 0.02, 0.08, 0.97
Skylanders: Spyro's Adventure, X360, 2011, Action, Activision, 0.53, 0.0, 0.35, 0.1, 0.97
NBA 2K16, X360, 2015, Sports, Take-Two Interactive, 0.77, 0.0, 0.1, 0.1, 0.97
Sonic Unleashed, X360, 2008, Platform, Sega, 0.54, 0.0, 0.33, 0.09, 0.96
LEGO Jurassic World, X360, 2015, Action, Warner Bros. Interactive Entertainment, 0.47, 0.0, 0.4, 0.08, 0.95
South Park: The Stick of Truth, X360, 2014, Role-Playing, Ubisoft, 0.57, 0.0, 0.3, 0.08, 0.95
Army of Two: The 40th Day, X360, 2010, Shooter, Electronic Arts, 0.62, 0.0, 0.24, 0.08, 0.95
